time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
2115,0,1,26.680555555555557,-90.88632202148438,2048,,,,,,,,,,,
1595,2,2,31.19,-84.68661499023438,4096,-24.1582151055336,2720.8553260803224,0.000499635911111111,0.2,1070.1365966796875,0.270361328125,1.0035277605056763,10,0.0007389187812805176,-0.07086691351723858,0.024719052
1567,3,3,32.31,-83.15293884277344,6144,-24.212099838256837,1995.4505500793457,0.0004992718222222222,0.2,641.758544921875,0.3142578125,1.0054559707641602,20,0.0011957883834838867,-0.08933772754971869,0.027249867
1366,5,4,34.08,-80.86026763916016,8192,-24.242216718196868,1823.227590942383,0.0004989077333333333,0.2,958.6119995117188,0.380712890625,1.008468747138977,30,0.0004709959030151367,-0.10055090416572057,0.032472573
1389,7,5,36.66,-77.61290740966797,10240,-24.327978563308715,1433.595426940918,0.0004985436444444445,0.2,779.0784912109375,0.490576171875,1.013817548751831,40,0.00139617919921875,-0.11066889769863338,0.045173153
1390,8,6,35.62,-78.48052215576172,12288,-24.391309809684753,1227.6693550109862,0.0004981795555555555,0.2,523.131103515625,0.513623046875,1.0176482200622559,50,0.013980746269226074,-0.11179933751118369,0.05010163
1378,10,7,37.46,-75.92619323730469,14336,-24.483931279182436,1077.544026184082,0.0004978154666666667,0.2,497.4223327636719,0.548876953125,1.0234267711639404,60,0.02382946014404297,-0.11403831882635132,0.0585525
1363,12,8,36.94,-76.67992401123047,16384,-24.529602682590486,965.6139072418213,0.0004974513777777778,0.2,513.0847778320312,0.5173828125,1.025208830833435,70,0.043156445026397705,-0.1118856328423135,0.053665906
1298,14,9,39.97,-72.45061492919922,18432,-24.577107906341553,834.2907657623291,0.0004970872888888889,0.2,420.7496337890625,0.491943359375,1.0285155773162842,80,0.046894729137420654,-0.10631937379366718,0.052907944
1283,15,10,42.22,-69.21830749511719,20480,-24.62850489616394,752.6859649658203,0.0004967232,0.2,357.45135498046875,0.473193359375,1.031550645828247,90,0.05232638120651245,-0.10687325601466,0.055608053
1286,17,11,43.5,-67.58830261230469,22528,-24.658509063720704,689.7390558242798,0.0004963591111111111,0.2,312.053466796875,0.45556640625,1.0337899923324585,100,0.06539106369018555,-0.10413469755440019,0.05343299
1283,19,12,44.84,-65.59127807617188,24576,-24.686158907413482,632.0329444885253,0.0004959950222222222,0.2,315.1904602050781,0.450048828125,1.0346264839172363,110,0.10840082168579102,-0.1006917755905306,0.05737148
1286,20,13,45.82,-64.34300231933594,26624,-24.70310422182083,607.3094793319702,0.0004956309333333333,0.2,333.2069091796875,0.4560546875,1.0357768535614014,120,0.09412539005279541,-0.10122007109166589,0.06053081
1290,22,14,45.99,-63.99021530151367,28672,-24.718085944652557,551.3909725189209,0.0004952668444444444,0.2,218.90138244628906,0.458544921875,1.0364009141921997,130,0.1446208357810974,-0.1035845902049914,0.063483655
1262,24,15,49.52,-59.093353271484375,30720,-24.738883769512178,532.3752529144288,0.0004949027555555556,0.2,308.7200927734375,0.471435546875,1.0366551876068115,140,0.09811389446258545,-0.097971762472298,0.07659532
